,ZKLX,IPINF,WVAE,TZM,CMZ,LRP,JCWJ,BLOKH,RMD,DNZIO,GXT,WIWEF,WGP,GBPGI,RHW,YQDDU,YHOVK,WNE,AWEEG,OJSY
2024-01-02,858.4962099759836,436.6460348498135,13.243624064807927,710.4979816400155,294.63008683179424,56.666261001482695,917.9560800639451,230.467894478361,65.8503796448856,436.0177044452535,291.463519591903,563.4975264146793,109.9896000568189,968.0734688337196,895.1155078313417,435.278848682654,385.5961858510038,341.8482699089149,252.2552982594388,998.2052141612254
2024-01-03,874.9648237793506,444.5539368336438,13.401990557358662,729.6243546741327,299.1444994181103,55.58958203361258,912.7265801146442,227.18127241343848,64.54710670848677,430.30342723863095,289.0904673464526,563.3424613376321,109.49063399431611,960.1621822162228,884.9820473652949,432.76836062760765,385.2767113329842,344.33068359352905,252.74274486240742,990.0380753481561
2024-01-04,872.4943795498865,437.3103495256968,13.307657750196716,722.0811501553716,294.4668712534144,54.91193491621675,907.7697842749503,223.47511277088904,63.31486361653335,417.72862092556375,287.65806395580177,558.6022284834473,108.4005631021154,945.8393650090884,868.2620046767294,423.2731599868016,385.5435105661579,339.3741411857232,249.8530359161191,973.8703901048592
2024-01-05,881.6203998963832,439.66958421106307,13.417870348260875,724.9727479398049,293.0950199060337,55.12629641419158,914.9572585086901,224.03788106532775,63.915320628503835,413.6179182474658,289.750974089086,564.5202781277465,109.80987170551666,956.1326497774827,865.5448519565977,429.87993902984067,389.1177019238589,340.60375097423145,251.32924815686928,987.0369251151744
2024-01-08,898.4414509062535,439.76706473297054,13.639581016939768,730.875927405949,295.97343171498875,54.47341060146755,911.4462268150955,222.1824610910958,63.57503554523291,417.54205993186133,298.45712482629034,570.0389895189779,112.12202172062806,980.232436293303,888.0186445720643,442.39525007382207,389.1026104140541,348.47577201561944,254.58496278512632,991.0269763080039
2024-01-09,891.6910872174369,440.0261998679881,13.34213673194656,729.6081872577352,294.22522413135033,54.58473051951125,919.0048763709425,223.60007964567617,63.83085872808188,424.89750192654174,289.80681864339687,559.2990272945606,109.999085540666,955.1928439600774,869.3507814844504,442.73650433891146,393.7849462019387,349.90403351781936,253.6197434521403,996.4307855544079
2024-01-10,897.3234303408057,443.81496773637696,13.38729201905388,735.3240347148144,294.1673537572516,55.21868169027242,942.8223544544943,227.64241704447386,65.4298573998784,430.1500089328225,283.77114178540467,553.6104392376832,110.19975327500255,936.910604483973,852.7167047366257,437.76096779036016,390.7169006386625,348.97503571648735,252.1991295360921,988.5927183870353
2024-01-11,887.0832040725387,437.2850690293697,13.426498584204092,728.7151417140808,290.15133295407617,55.04943783764472,940.4436027362985,225.5538288940387,65.38247197293994,425.0935930767078,285.02054770285105,555.6751076787641,109.8918283748455,938.8863835504291,854.0140775558518,436.6947298592215,388.58388119307085,348.8692518194988,250.9851530999174,985.5021573101466
2024-01-12,882.1052346968628,434.3376069147289,13.206678938340385,724.733760929714,288.72896198316914,55.38789427193341,949.2348964647023,226.53097613054717,65.57996724923238,424.4949262611206,282.5039075468811,550.3084707266831,108.18085916741651,925.088547608204,839.2115245643495,429.933849414016,386.98768851111225,344.0336373546859,245.05072419401142,969.4040655640338
2024-01-15,874.5750195145922,433.52155318490554,13.050890222800485,716.1257607314826,289.8544050884409,55.04757567933036,929.8156663236305,225.53129035315905,65.16421520224124,425.93378912421167,279.6216445093076,547.1250516738329,107.30219306967444,919.3469116028999,841.1670077174166,427.14893921677117,379.69976731534575,338.82557121402306,241.1887690421858,949.4081411224156
